id,x1,x2,x3,x4,y
1,-0.214,1.434,0.201,0.582,6.524
2,-0.355,-0.229,-0.347,1.107,4.222
3,0.933,-0.170,1.451,-0.444,11.509
4,0.582,0.119,0.549,-1.207,8.696
5,-1.224,1.089,-1.003,0.922,1.613
6,-0.770,0.655,-0.713,0.305,2.484
7,0.093,-0.274,0.280,1.251,7.345
8,-0.018,0.421,0.441,-0.617,6.805
9,0.254,-0.707,0.772,-0.096,8.072
10,-0.684,1.129,-0.521,0.720,4.319
11,0.401,-0.418,0.836,-1.018,8.584
12,-0.122,0.175,0.012,0.842,6.106
13,1.110,-1.056,1.548,-0.655,11.414
14,-0.911,0.893,-0.782,1.273,2.612
15,0.677,-0.518,1.082,0.118,10.260
16,0.315,-0.283,0.648,-0.906,8.550
17,-0.503,0.744,-0.355,0.530,4.162
18,0.862,-0.942,1.263,-0.231,10.378
19,-1.062,0.917,-0.908,0.667,1.544
20,0.157,-0.114,0.392,-1.365,7.106
21,0.522,-0.401,0.957,0.474,8.856
22,-0.732,1.215,-0.597,0.993,3.281
23,0.040,0.063,0.116,-0.054,5.762
24,0.288,-0.598,0.701,0.319,8.070
25,-0.409,0.812,-0.182,1.105,4.973
26,1.217,-1.083,1.686,-0.732,11.747
27,-0.168,0.267,0.042,0.413,5.956
28,0.744,-0.621,1.134,-0.288,9.922
29,-0.944,0.799,-0.812,0.875,2.214
30,0.205,-0.154,0.501,-1.043,7.265
31,0.616,0.224,0.624,0.586,8.751
32,-0.297,-0.314,-0.059,1.219,4.936
33,1.003,-0.812,1.432,-0.527,11.287
34,-0.656,0.992,-0.560,0.704,3.378
35,0.344,-0.266,0.812,0.031,8.317
36,-0.091,0.338,0.188,-1.104,6.064
37,0.789,-0.701,1.219,0.249,10.379
38,-1.145,1.043,-0.941,0.911,1.907
39,0.478,-0.476,0.911,-0.315,8.808
40,-0.223,0.488,-0.002,0.658,5.946
41,0.901,-0.833,1.337,-0.506,10.949
42,-0.584,0.901,-0.471,1.033,3.279
43,0.061,-0.033,0.247,-0.161,6.243
44,0.302,-0.272,0.643,0.271,7.915
45,-0.831,1.047,-0.703,0.845,2.811
46,0.995,-0.868,1.523,-0.338,11.284
47,-0.412,0.672,-0.237,0.616,4.723
48,0.184,-0.126,0.498,-0.972,7.229
49,0.537,-0.517,1.006,0.147,8.633
50,-0.701,1.108,-0.603,1.164,3.145
51,0.267,-0.194,0.577,-0.439,7.803
52,-0.058,0.212,0.096,0.403,5.736
53,1.142,-1.021,1.613,-0.612,11.676
54,-0.922,0.845,-0.854,0.731,2.222
55,0.448,-0.366,0.916,-0.082,8.498
56,0.112,-0.098,0.386,-1.241,7.078
57,-0.274,0.463,-0.081,0.537,5.209
58,0.834,-0.724,1.219,-0.194,10.421
59,-1.106,0.936,-0.947,0.951,1.834
60,0.391,-0.336,0.804,-0.527,8.624
